id,latitude,longitude
15657094,50.08932,14.42245
15657708,50.08946,14.42367
15657865,50.08808,14.42394
15658079,50.08926,14.42253
15658215,50.08746,14.42349
15658480,50.08932,14.42394
15658590,50.08867,14.42407
15658847,50.08959,14.42208
15659086,50.08951,14.42381
15659399,50.08722,14.42278
15673129,50.05404,14.51607
15716479,50.05978,14.42869
15719668,50.10023,14.41836
15723804,50.07929,14.4251
15739896,50.06637,14.42283
15749959,50.08353,14.40421
15757628,50.06895,14.40149
15759088,50.0557,14.43339
