id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
10961519,1.06,1.84,1.69,3.23,1.96,4.57
10978474,1.02,1.94,1.82,3.2,2.13,4.74
10136354,2.45,1.4,0.98,3.65,0.7,2.37
10146759,0.89,0.73,1.11,1.71,2.32,4.35
10150711,0.94,2.33,2.47,2.49,3.22,5.71
10158990,2.11,1.82,1.38,3.94,0.62,3.24
10159608,2.85,1.63,1.32,3.78,1.16,1.99
10167887,0.62,2.01,2.14,2.4,2.91,5.38
10170589,1.92,1.09,0.62,3.35,0.65,2.94
10172298,2.55,1.55,1.12,3.81,0.57,2.3
10203560,2.81,2.79,2.37,4.82,1.42,3.66
10203916,2.66,2.62,2.2,4.66,1.27,3.6
10205793,1.97,0.64,0.93,2.25,2.06,3.42
10993011,2.68,3.84,3.72,4.65,3.74,6.36
11004309,1.14,0.4,0.83,1.91,2.08,4.01
11008465,0.32,1.71,1.85,2.28,2.67,5.11
11011610,2.52,3.11,2.8,4.7,2.34,4.83
11017606,2.88,2.28,1.81,4.53,0.54,2.54
11018551,1.3,0.25,0.72,2.02,1.98,3.84
11019415,0.39,1.55,1.59,2.57,2.27,4.77
11029651,5.62,4.3,4.07,6.09,3.66,1.15
11039131,4.24,2.85,2.77,4.36,2.91,1.88
10238081,2.02,2.08,1.69,4.03,1.13,3.72
10241811,2.52,1.86,1.39,4.11,0.12,2.62
10244297,3.14,3.05,2.6,5.13,1.53,3.55
10250597,2.84,2.22,1.75,4.47,0.48,2.52
11042861,1.98,1.72,1.29,3.82,0.68,3.31
11050889,2.04,1.28,1.73,1.35,2.97,4.33
11055393,1.19,1.58,1.99,0.98,3.19,5.17
11060526,1.23,0.75,1.21,1.52,2.47,4.31
11075687,1.64,0.84,0.38,3.07,0.92,3.19
11079756,1.97,0.97,0.52,3.24,0.81,2.85
11083399,1.75,0.44,0.8,2.17,2.0,3.54
11084174,5.68,4.39,4.14,6.23,3.65,1.07
11096366,5.62,4.31,4.08,6.11,3.65,1.14
10276293,0.81,2.1,2.32,2.04,3.23,5.62
10290221,2.31,1.99,1.54,4.14,0.61,3.16
10316476,2.82,3.78,3.57,4.93,3.36,5.91
10335997,3.03,4.28,4.21,4.83,4.33,6.96
10336625,2.52,1.89,1.42,4.14,0.16,2.65
10353204,3.04,1.89,1.53,4.07,1.08,1.78
10353331,1.12,0.62,1.06,1.68,2.31,4.22
11107331,3.56,4.91,4.92,5.04,5.19,7.83
11108578,3.54,2.6,2.17,4.85,1.15,1.58
11108923,3.54,2.6,2.17,4.85,1.15,1.58
11110830,0.99,0.43,0.76,2.04,1.97,4.02
11112336,2.52,1.92,1.45,4.16,0.21,2.69
11132029,2.88,4.25,4.29,4.32,4.68,7.31
11140090,2.56,1.31,1.01,3.47,1.14,2.31
11147546,1.44,2.11,2.5,0.98,3.66,5.72
10374992,1.99,1.72,1.29,3.83,0.67,3.3
10411902,3.26,2.35,1.91,4.61,0.87,1.82
10447043,1.39,1.08,1.54,1.19,2.81,4.57
10448398,2.41,1.43,0.99,3.7,0.54,2.43
10449047,2.3,3.69,3.77,3.7,4.27,6.88
10451000,2.65,4.04,4.17,3.71,4.77,7.35
11160411,2.57,1.41,1.05,3.62,0.92,2.25
11164276,0.73,1.41,1.32,2.85,1.84,4.39
11165818,1.54,0.31,0.19,2.58,1.44,3.35
11166908,4.58,3.54,3.86,3.22,4.81,4.81
11174426,2.06,1.79,1.36,3.91,0.66,3.28
11174833,2.18,1.84,1.39,3.98,0.54,3.15
11181172,2.37,1.84,2.3,0.99,3.55,4.85
10495200,2.93,2.21,1.74,4.47,0.51,2.3
10513910,1.71,1.51,1.11,3.56,0.85,3.47
10516974,3.53,2.65,2.21,4.92,1.11,1.71
10519952,3.03,1.83,1.5,3.98,1.18,1.8
10533422,2.21,1.4,0.93,3.67,0.35,2.7
10543618,2.57,1.99,1.52,4.23,0.28,2.69
10545725,0.57,1.63,1.61,2.75,2.19,4.73
10547269,1.59,1.97,2.4,0.63,3.62,5.52
11181608,3.4,2.57,2.97,1.94,4.11,4.81
11197113,5.55,4.28,4.46,4.61,5.08,4.22
11197896,0.31,1.37,1.61,1.87,2.61,4.91
11203687,1.57,0.47,0.03,2.74,1.27,3.28
11204336,2.12,1.2,1.63,1.57,2.85,4.12
11208534,2.11,1.85,1.42,3.97,0.67,3.28
11229581,2.47,1.86,1.39,4.1,0.15,2.7
11230869,3.09,1.8,1.55,3.84,1.48,1.84
11232957,1.52,1.54,1.19,3.47,1.11,3.73
11248398,1.33,1.18,0.86,3.16,1.12,3.66
11412567,4.87,3.5,3.56,4.45,3.97,2.93
11445715,2.03,2.8,2.57,4.21,2.38,4.98
11447098,0.25,1.6,1.78,2.11,2.67,5.06
11470029,1.07,0.38,0.77,1.98,2.01,4.0
