id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count,dist_to_sagrada_familia,dist_to_casa_milà,dist_to_casa_batlló,dist_to_parc_güell,dist_to_la_rambla,dist_to_montjuïc
45355945,41.38152,2.14739,296,30,0,0,0,3.332340022923098,1.952712515207486,1.8480353411890695,3.6938586004422023,2.0952108372751606,2.032633839772864
45356213,41.39686,2.18143,275,25,0,6,0,0.9515771399693118,1.6382763907366475,1.4934774138512372,3.0965754443681206,1.8328220509114668,4.430051629531468
45932927,41.38873,2.16821,670,141,0,22,2,1.7322108071782123,0.9004289934229328,0.4304750133021982,3.1439690612110565,0.8496410691528082,3.097223730195614
45932971,41.39077,2.16828,638,124,0,17,2,1.515212207815934,0.7327806072724808,0.3003243508778782,2.941271833882516,1.0577280919951686,3.3056845648117825
45936899,41.38581,2.17096,741,150,0,30,2,1.9988615909309573,1.2979797900476635,0.8273559683194516,3.5350960041614337,0.46403316490072527,2.923944058419072
45945743,41.39039,2.16089,667,110,0,7,1,1.8513590060803726,0.5524295852223458,0.3648537317060849,2.76656628971038,1.3603260652601876,3.0658854356146534
45946816,41.40855,2.18572,271,7,0,0,0,1.0928287545835036,2.4734219642400137,2.5546341772575683,2.8320275753825146,3.172298768025755,5.727326862589832
45947679,41.39039,2.16089,667,110,0,7,1,1.8513590060803726,0.5524295852223458,0.3648537317060849,2.76656628971038,1.3603260652601876,3.0658854356146534
45947741,41.39039,2.16089,667,110,0,7,1,1.8513590060803726,0.5524295852223458,0.3648537317060849,2.76656628971038,1.3603260652601876,3.0658854356146534
45947908,41.39039,2.16089,667,110,0,7,1,1.8513590060803726,0.5524295852223458,0.3648537317060849,2.76656628971038,1.3603260652601876,3.0658854356146534
45356687,41.3845,2.17875,603,114,0,27,2,2.1545979237213446,1.8487920173419552,1.4056887820970834,3.981077806351007,0.6016926037817099,3.210726908404177
45357613,41.38121,2.14665,289,30,0,0,0,3.3995506385837313,2.018212571639984,1.9179798905591332,3.7359186371341937,2.157721957373191,2.012162314007542
45362701,41.37716,2.16902,515,102,0,16,3,2.974052667635,2.1027185039005323,1.6529083928657338,4.36948920221806,0.5920335830056656,2.0599713341265633
